buyer_request,preview,contract_link
Accurate PDF Data Entry,"I have a collection of PDF files that need to be keyed into a clean, structured format. Because the ",https://www.freelancer.com/projects/data-processing/Accurate-PDF-Data-Entry-40473226
Sviluppo Script Python per Estrazione Dati Corse,"Capisco, ecco di nuovo il riepilogo completo del tuo progetto:  ---  Titolo: Python Developer Needed",https://www.freelancer.com/projects/data-extraction/Sviluppo-Script-Python-per-Estrazione
"Build an AI assisted editorial content workflow for a financial media publication (WordPress, n8n or Make)",About the project We are launching a premium digital publication covering alternative investments fo,https://www.freelancer.com/projects/n8n/Build-assisted-editorial-content
Business Website Lead Scraper,I’m building a fresh prospect list and need someone who can automatically pull contact information f,https://www.freelancer.com/projects/beautifulsoup/Business-Website-Lead-Scraper
Scalable Real Estate Data Extractor,"I need a robust Python-based tool that accepts a street address or parcel number, crawls the web for",https://www.freelancer.com/projects/api-integration/Scalable-Real-Estate-Data-Extractor
Manual English Data Entry Project,"I have several online databases that contain English-language text which must be transferred, word-f",https://www.freelancer.com/projects/copy-typing/Manual-English-Data-Entry-Project
B2B Lead Generation (Morocco Only): Verified Corporate Database & Active Decision-Maker Contacts,"We are looking for an experienced and meticulous B2B Lead Generator to source and build a fresh, hig",https://www.freelancer.com/projects/leads/Lead-Generation-Morocco-Only-Verified
"WAF Migration Specialist: Imperva → Cloudflare (5-Site Portfolio, High Bot Traffic)",We operate a portfolio of five high-traffic real estate websites and need to evaluate and execute a ,https://www.freelancer.com/projects/apache/WAF-Migration-Specialist-Imperva
Browser Automation Reliability Upgrade,"Our booking bot works, but not often enough. Failed submissions, rate-limit timeouts, and disappeari",https://www.freelancer.com/projects/redis/Browser-Automation-Reliability-Upgrade
Accurate PDF Data Entry,"I have a collection of PDF files that need to be keyed into a clean, structured format. Because the ",https://www.freelancer.com/projects/data-processing/Accurate-PDF-Data-Entry-40469617
Comprehensive Business Directory Scraping,I'm looking for an experienced web scraper to extract detailed data for a business directory. The sc,https://www.freelancer.com/projects/beautifulsoup/Comprehensive-Business-Directory-40468852
Python Bot: Dynamic API Scraper ,"I need a seasoned Python engineer who can tear down a dynamic website’s API, understand its WebSocke",https://www.freelancer.com/projects/api/Python-Bot-Dynamic-API-Scraper
Scalable Cloud-based Scraper & Dashboard Developer,I’m currently looking for a developer experienced in large-scale automation and scraping systems.  I,https://www.freelancer.com/projects/cloud-computing/Scalable-Cloud-based-Scraper-Dashboard
Weekly PDF Data Entry Support,"Each week I receive a batch of digital PDFs that need to be translated into clean, well-structured s",https://www.freelancer.com/projects/google-sheets/Weekly-PDF-Data-Entry-Support
Lead Generation Specialist Required - Manual Research Only,Freelance Lead Generation Specialist (Small Trial Project – Long-Term Opportunity)  **Important Note,https://www.freelancer.com/projects/data-entry/Lead-Generation-Specialist-Required-40467698
