topic_title,url
Need sample SQL datasetSanthosh Ashokkumar·Lastcomment1y agoby anik _ML,https://www.kaggle.com/discussions/general/37755
Need Dataset for Vehicle tracking/detectionLalitha Rajesh·Lastcomment10mo agoby RAGHAV DHARWAL,https://www.kaggle.com/discussions/general/51220
Need Back Order Prediction DatasetAnshulBhandari·Lastcomment6y agoby shubham,https://www.kaggle.com/discussions/general/56389
Need cellular manufacturing datasetBhimashankar Dukare·Posted8y ago,https://www.kaggle.com/discussions/general/57121
Need Dataset for identifying Indian vehicle number using number platesThamizhSelvan·Lastcomment5y agoby Gayatri Hajare,https://www.kaggle.com/discussions/general/64840
Need Datasets For Student Dropout Predictionadatta·Lastcomment4y agoby bererei,https://www.kaggle.com/discussions/general/74987
I need a datasetNihal Hossny·Lastcomment7y agoby People Data Labs,https://www.kaggle.com/discussions/general/87628
need dataset on simple linear regressionMaha·Lastcomment7y agoby Maha,https://www.kaggle.com/discussions/general/88125
I need dataset of wireless capsule endoscopy imagesvrushali_ss·Lastcomment5y agoby Debesh Jha,https://www.kaggle.com/discussions/general/89356
I need a dataset for predictive or preventive maintenance.MohammadAli·Lastcomment5y agoby murali yellapu,https://www.kaggle.com/discussions/general/99209
in need of dataset for school projectlamin jawneh·Lastcomment7y agoby Tensor Girl,https://www.kaggle.com/discussions/general/112573
Need Dataset for identifying Pakistan vehicle number using number platesUsman Afzal·Lastcomment5y agoby Usman Afzal,https://www.kaggle.com/discussions/general/121470
Need help structuring a Kaggle datasetTony Robinson·Lastcomment2y agoby vangap,https://www.kaggle.com/discussions/general/200885
Need a DatasetMuhammad Farhan·Posted5y ago,https://www.kaggle.com/discussions/general/230041
List of Datasets you need to practice data science skills and make your portfolio strongYash Patel·Lastcomment5mo agoby Pavel Azangue,https://www.kaggle.com/discussions/general/268890
Need Dataset for Creating Business planRajkumar Fr·Lastcomment3y agoby Erez Lankri,https://www.kaggle.com/discussions/general/374528
Need a very basic dataset for practicing simple linear regression model!Chiranjeev Marwaha·Lastcomment3y agoby Chiranjeev Marwaha,https://www.kaggle.com/discussions/general/415642
"I Became a Dataset Expert !! 🎉📊 , Need advice to become Dataset Master.Laksika Tharmalingam·Lastcomment3y agoby Muhammad Bilal Hussain",https://www.kaggle.com/discussions/general/416114
Dataset needLakshmi narayanan aiml·Lastcomment3y agoby Lakshmi narayanan aiml,https://www.kaggle.com/discussions/general/454120
Need DatasetLakshay Jain·Lastcomment2y agoby Vinay Khanduri,https://www.kaggle.com/discussions/general/466605
